,dN/dS
1,0.8646891356565521
2,0.25940651409602217
3,0.5188133519142989
4,0.8646891356565521
5,0.21617221025232267
6,0.504401896636754
7,0.28822962407345953
8,0.4941078842151895
9,0.8646891356565521
10,0.28822962407345953
11,0.7686125374990307
12,0.22417848084637326
13,2.0176085980439127
14,0.46116740740641604
15,0.6725359461043132
16,0.3843060362619159
17,0.1441147093250479
18,0.40352146695621444
19,0.3963156350833218
20,0.24705388879351742
21,0.288229598495767
22,0.14411477086832206
23,0.504401896636754
24,1.1529189501147807
25,0.25620398733197725
26,0.9607657408734496
27,0.46116740740641604
28,0.5764593311911494
29,0.38430621338668813
30,1.1529189501147807
31,0.4683730569920506
32,0.345875530652665
33,0.504401896636754
34,0.624497565212635
35,1.297033865334348
36,0.7205742157386763
37,0.5188133519142989
38,0.7205742659886013
39,0.24705388879351742
40,0.6725359461043132
41,0.432344405978729
42,0.38430612488325644
43,0.7493971717682547
44,0.7493971717682547
45,1.0088040472559805
46,0.5764593311911494
47,1.037627039796485
48,3.746987729102742
49,1.008804049398399
50,0.4978510026260753
51,0.8646891356565521
52,1.1529189720405202
53,0.4483570745737749
54,0.6588106070463629
55,2.305838563471811
56,0.8070431370983814
57,0.624497565212635
58,0.9367465816016748
59,0.5352835604960259
60,0.4323444672656745
61,0.432344405978729
62,0.8646891211306894
63,0.46116740740641604
64,0.2882295217132703
65,0.5764592397387586
66,0.3602869280164447
67,0.5764593006578065
68,0.28822957291065576
69,0.7860801489887972
70,0.7205741654887188
71,0.3242582235412253
72,0.4803826906038883
73,1.441148949809152
74,0.5764593006578065
75,0.2882294448924909
76,1.8734936307687167
77,0.6588106070463629
78,0.7686124708471523
79,0.9223350801096325
80,1.297033961595206
