Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI,Strain,off.per.hr
D3,0.1511,2.81,0.4765,9.9038,-2.8141,0.4611,0.4927,0.4607,0.4922,0,0.687444187
B11,0.1064,3.1249,0.4927,9.433,-2.7033,0.4771,0.5091,0.4767,0.5086,0,0.710815847
C11,0.0929,2.9969,0.4787,10.6401,-2.7067,0.4628,0.4955,0.4624,0.495,0,0.690618116
D11,0.1013,3.1354,0.4973,9.4583,-2.7156,0.4817,0.5136,0.4814,0.5131,0,0.717452244
E11,0.0955,-2.9276,0.4722,9.9848,-2.7418,0.4567,0.4886,0.4563,0.4881,0,0.681240598
F11,0.0775,2.8329,0.4531,10.6474,-2.7458,0.4377,0.4694,0.4373,0.4689,0,0.653685123
G11,0.1074,3.2329,0.4986,9.7846,-2.6479,0.4825,0.5156,0.4822,0.5151,0,0.719327747
C2,0.1142,-2.9421,0.3698,10.1413,-2.4822,0.3548,0.3858,0.3544,0.3852,2,0.533508626
B4,0.2076,3.2421,0.4141,9.5056,-2.553,0.4007,0.4282,0.4005,0.4278,2,0.597420016
C4,0.1427,-3.1521,0.3998,9.5199,-2.6156,0.3874,0.4128,0.3872,0.4124,2,0.576789477
D4,0.1624,2.8694,0.3831,9.7037,-2.6757,0.3706,0.3964,0.3703,0.396,2,0.55269647
E4,0.1699,3.2641,0.4072,9.123,-2.5799,0.3947,0.4203,0.3945,0.4199,2,0.587465421
F4,0.11,2.9467,0.3785,10.4907,-2.6214,0.3658,0.3918,0.3655,0.3914,2,0.546060073
G4,0.1341,2.9843,0.3882,9.6107,-2.6511,0.3757,0.4013,0.3755,0.4009,2,0.560054215
D2,0.1263,-2.7921,0.376,11.8771,-2.7579,0.3642,0.3884,0.3639,0.3881,4,0.542453335
B5,0.0788,-2.7562,0.3599,16.446,-2.6712,0.3473,0.3733,0.347,0.3729,4,0.519225945
C5,0.1431,2.9447,0.3854,9.6597,-2.8241,0.3749,0.3964,0.3747,0.3961,4,0.556014669
D5,0.0814,2.7384,0.3535,11.2657,-2.9736,0.3446,0.3629,0.3444,0.3627,4,0.509992697
E5,0.104,2.7235,0.3594,10.5752,-2.9771,0.3502,0.3689,0.35,0.3687,4,0.518504598
F5,0.1137,-2.6999,0.3638,10.5912,-2.8973,0.3535,0.3746,0.3533,0.3743,4,0.524852456
G5,0.1123,2.7703,0.3725,13.3572,-2.7822,0.3609,0.3847,0.3606,0.3843,4,0.537403903
E2,0.1045,2.8237,0.3078,12.5024,-2.854,0.2996,0.3164,0.2995,0.3162,5,0.444061534
B6,0.0888,3.0096,0.3428,14.5738,-2.7562,0.333,0.3531,0.3328,0.3528,5,0.49455586
C6,0.0844,2.7072,0.3098,13.1593,-2.8774,0.3012,0.3189,0.301,0.3186,5,0.446946924
D6,0.0927,2.7651,0.3028,12.4279,-2.8598,0.2946,0.3114,0.2944,0.3112,5,0.436848058
E6,0.0747,-2.7728,0.3118,12.7943,-2.8819,0.3034,0.3206,0.3032,0.3203,5,0.449832314
F6,0.094,2.8762,0.3234,12.9205,-2.8891,0.3151,0.3321,0.315,0.3319,5,0.466567576
G6,0.119,2.7831,0.2833,11.0067,-3.0698,0.2774,0.2893,0.2773,0.2892,5,0.408715505
F2,0.1076,-2.718,0.3227,19.1763,-2.5058,0.3094,0.3368,0.3091,0.3363,9,0.46555769
B7,0.1153,-3.0276,0.3501,18.8881,-2.4367,0.3365,0.3646,0.3361,0.3641,9,0.505087534
C7,0.0959,3.1389,0.3483,18.7217,-2.3801,0.3347,0.3628,0.3343,0.3623,9,0.502490683
D7,0.0993,3.0224,0.335,17.0087,-2.4258,0.3222,0.3487,0.3218,0.3482,9,0.483302839
E7,0.2104,-2.9717,0.3234,14.362,-2.3874,0.3103,0.3374,0.3099,0.3369,9,0.466567576
F7,0.1449,-2.7854,0.3211,16.0771,-2.585,0.3097,0.3332,0.3094,0.3328,9,0.463249378
G7,0.071,2.8607,0.3182,19.891,-2.4168,0.3048,0.3326,0.3044,0.3321,9,0.459065562
G2,0.116,3.1472,0.4668,7.9168,-2.5204,0.4488,0.4859,0.4484,0.4851,11,0.673450045
B8,0.1278,3.1199,0.481,8.399,-2.7113,0.4661,0.4967,0.4657,0.4962,11,0.693936315
C8,0.1569,3.2059,0.4836,7.6444,-2.6936,0.4688,0.4992,0.4685,0.4988,11,0.697687322
D8,0.1869,3.2522,0.4925,7.169,-2.7179,0.4778,0.5078,0.4775,0.5074,11,0.710527308
E8,0.1548,-3.0009,0.4848,9.5333,-2.7543,0.4694,0.5009,0.4691,0.5005,11,0.699418556
F8,0.1178,-2.9382,0.4645,8.6809,-2.8304,0.4508,0.4789,0.4505,0.4785,11,0.670131846
G8,0.0956,-3.0963,0.4761,9.8324,-2.7199,0.4612,0.4919,0.4609,0.4914,11,0.686867109
B3,0.0848,-3.0347,0.4772,12.9462,-2.6207,0.46,0.4953,0.4596,0.4948,16,0.688454074
B9,0.1144,-2.9926,0.4686,8.5523,-2.7704,0.4541,0.4838,0.4538,0.4834,16,0.676046896
C9,0.1586,2.9156,0.4723,8.7157,-2.8459,0.4584,0.4869,0.4581,0.4865,16,0.681384868
D9,0.1491,2.9791,0.4811,9.8319,-2.7517,0.4656,0.4973,0.4653,0.4968,16,0.694080584
E9,0.112,3.0161,0.4665,8.1148,-2.8241,0.453,0.4806,0.4527,0.4802,16,0.673017237
F9,0.1132,-2.8369,0.4601,9.1917,-2.7704,0.4448,0.4762,0.4445,0.4757,16,0.663783988
G9,0.0797,3.1799,0.4804,13.2719,-2.6182,0.4641,0.4975,0.4637,0.497,16,0.693070698
C3,0.1179,-3.2707,0.5003,9.3663,-2.6267,0.484,0.5174,0.4837,0.5169,19,0.721780329
B10,0.0786,-3.3426,0.482,13.3479,-2.4468,0.4638,0.5014,0.4633,0.5007,19,0.69537901
C10,0.1083,-2.9915,0.4779,10.9612,-2.6515,0.461,0.4956,0.4606,0.4951,19,0.68946396
D10,0.1267,-3.1411,0.4965,9.8018,-2.6821,0.4805,0.5134,0.4802,0.5129,19,0.716298088
E10,0.1733,3.03,0.4926,8.7894,-2.8117,0.4781,0.5077,0.4779,0.5073,19,0.710671577
F10,0.1562,-2.9852,0.4886,9.3708,-2.762,0.4732,0.5048,0.4728,0.5043,19,0.704900797
G10,0.0877,-3.1759,0.4884,11.3506,-2.6626,0.4727,0.505,0.4723,0.5045,19,0.704612258
