strain,selection,genotype,e0,off.per.hr_50.50,off.per.hr_46.50,A_50.50,A_46.50,lag_50.50,lag_46.50,anc.off.per.hr,anc.e0,off.per.hr.matched,deltal,deltar,deltar.50.50
2,NL,rpl19a,4.162840392,0.723319204,0.689704409,2.952966667,2.9567,9.8757,11.79246667,0.564856328,3.966526375,0.704275629,0.196314017,0.139419301,0.158462875
2,NL,rpl19a,1.99069366,0.685472504,0.685664863,2.830333333,2.925466667,10.07931667,10.98558333,0.564856328,3.966526375,0.677321277,-1.975832715,0.112464948,0.120616175
2,NL,rpl19a,1.978119092,0.682947787,0.722525721,2.9202,2.967683333,10.56238333,9.442616667,0.564856328,3.966526375,0.691700137,-1.988407282,0.126843809,0.118091459
2,NL,rpl19a,2.328844222,0.736438111,0.662918371,3.01192,2.77136,9.992683333,11.25876667,0.564856328,3.966526375,0.733379597,-1.637682153,0.168523269,0.171581782
2,NL,rpl19a,3.06317184,0.702832934,0.508117193,2.86625,3.051833333,9.494033333,14.14445,0.564856328,3.966526375,0.696773615,-0.903354535,0.131917287,0.137976606
4,NL,pmr1,2.890123748,0.670396341,0.661523766,2.841466667,2.778966667,9.974816667,10.12946667,0.529778229,2.653540408,0.661523766,0.23658334,0.131745537,0.140618112
4,NL,pmr1,1.257636557,0.544280749,0.593164066,2.87685,2.821766667,12.4599,9.910116667,0.529778229,2.653540408,0.593164066,-1.395903851,0.063385837,0.01450252
4,NL,pmr1,0.92296251,0.677417456,0.654574785,2.880283333,2.85605,10.56065,9.453566667,0.529778229,2.653540408,0.654574785,-1.730577898,0.124796556,0.147639228
4,NL,pmr1,1.173153055,0.653444674,0.652218383,2.893833333,2.80975,11.72483333,10.31458333,0.529778229,2.653540408,0.652218383,-1.480387353,0.122440154,0.123666445
4,NL,pmr1,0.619521483,0.505568432,0.589701598,2.82725,2.810616667,9.807416667,11.15583333,0.529778229,2.653540408,0.589701598,-2.034018925,0.059923369,-0.024209797
5,NL,sch9,1.088380841,0.628990993,0.604657537,3.101133333,2.9423,8.7742,9.2082,0.449646824,3.646673218,0.604657537,-2.558292377,0.155010712,0.179344169
5,NL,sch9,2.173136882,0.547262319,0.524251333,3.104933333,2.867333333,10.26365,10.99606667,0.449646824,3.646673218,0.524251333,-1.473536336,0.074604509,0.097615494
5,NL,sch9,0.557010446,0.553538042,0.546901645,2.966466667,2.898083333,10.31503333,10.71388333,0.449646824,3.646673218,0.546901645,-3.089662772,0.097254821,0.103891218
5,NL,sch9,0.57852854,0.541491539,0.512878087,3.0106,2.80965,11.03878333,10.38641667,0.449646824,3.646673218,0.512878087,-3.068144678,0.063231263,0.091844714
5,NL,sch9,2.772749521,0.53807716,0.490612494,2.929783333,2.668466667,10.57588333,8.841516667,0.449646824,3.646673218,0.490612494,-0.873923697,0.040965669,0.088430336
9,NL,ypt6,1.694265785,0.72882549,0.683885539,3.047633333,2.751416667,10.3313,8.924116667,0.477903037,4.147585939,0.683885539,-2.453320154,0.205982502,0.250922452
9,NL,ypt6,2.522080816,0.759891523,0.73743357,3.057566667,2.961183333,9.894666667,9.747683333,0.477903037,4.147585939,0.73743357,-1.625505124,0.259530533,0.281988486
9,NL,ypt6,3.155948187,0.751451757,0.729138074,3.099516667,2.98165,9.823883333,9.748133333,0.477903037,4.147585939,0.729138074,-0.991637753,0.251235036,0.27354872
9,NL,ypt6,5.49827854,0.73890031,0.697735412,3.084766667,2.987416667,11.50405,9.1898,0.477903037,4.147585939,0.697735412,1.350692601,0.219832374,0.260997273
9,NL,ypt6,1.267647317,0.726685492,0.709469331,3.036783333,3.001883333,10.14443333,9.926033333,0.477903037,4.147585939,0.709469331,-2.879938622,0.231566294,0.248782455
11,NL,tor1,4.28790823,0.750874679,0.758328603,3.052333333,3.02285,9.431033333,8.5534,0.690288357,3.1103613,0.758328603,1.17754693,0.068040246,0.060586322
11,NL,tor1,5.478219601,0.716610672,0.74907131,3.066283333,3.1124,10.8598,10.66443333,0.690288357,3.1103613,0.74907131,2.367858301,0.058782953,0.026322315
11,NL,tor1,3.350697192,0.693503506,0.736351549,3.187033333,2.98455,10.87651667,9.02405,0.690288357,3.1103613,0.736351549,0.240335891,0.046063192,0.003215149
11,NL,tor1,3.277618404,0.741689521,0.725098528,3.075183333,2.968466667,10.07171667,9.758866667,0.690288357,3.1103613,0.725098528,0.167257103,0.03481017,0.051401163
11,NL,tor1,6.390763736,0.740583454,0.727334705,3.03485,2.951166667,9.95785,8.362983333,0.690288357,3.1103613,0.727334705,3.280402436,0.037046348,0.050295097
16,NL,tif2,4.622618793,0.771769712,0.733778743,3.159016667,3.041733333,9.601866667,10.16875,0.681405478,4.241732325,0.733778743,0.380886468,0.052373265,0.090364234
16,NL,tif2,5.164511315,0.762656688,0.689391825,3.1403,2.8074,9.432933333,9.930866667,0.681405478,4.241732325,0.689391825,0.92277899,0.007986348,0.081251211
16,NL,tif2,3.598169111,0.75791984,0.739212894,3.08105,2.965216667,9.292283333,10.74625,0.681405478,4.241732325,0.739212894,-0.643563214,0.057807416,0.076514362
16,NL,tif2,4.865345366,0.747724795,0.746787043,3.107116667,3.19955,9.491683333,8.106533333,0.681405478,4.241732325,0.746787043,0.623613041,0.065381565,0.066319317
16,NL,tif2,5.695570328,0.72721448,0.69537901,2.968516667,2.841583333,9.401583333,10.88818333,0.681405478,4.241732325,0.69537901,1.453838003,0.013973532,0.045809003
19,NL,JD174,5.788160712,0.764820731,0.723559653,3.03325,2.911133333,9.140583333,9.0854,0.706158003,5.754412658,0.758929726,0.033748054,0.052771724,0.058662728
19,NL,JD174,4.10922854,0.783647901,0.74779693,3.134916667,2.964983333,10.97535,8.3296,0.706158003,5.754412658,0.743060081,-1.645184118,0.036902078,0.077489899
19,NL,JD174,4.034971692,0.732696721,0.696485076,3.02915,2.9343,10.92638333,9.676816667,0.706158003,5.754412658,0.733874922,-1.719440966,0.02771692,0.026538719
19,NL,JD174,3.266259345,0.741304802,0.698889568,3.018966667,2.9313,9.694133333,9.608233333,0.706158003,5.754412658,0.721804374,-2.488153313,0.015646371,0.035146799
19,NL,JD174,3.443840007,0.742146374,0.701438329,3.017433333,3.017016667,9.99585,8.671616667,0.706158003,5.754412658,0.749624343,-2.310572651,0.043466341,0.035988371
0,NL,BY4742,3.089749862,0.773188362,0.709325062,3.0378,2.849383333,9.918716667,9.209683333,0.694369123,1.987391586,0.709325062,1.102358277,0.014955939,0.078819239
0,NL,BY4742,0.647102667,0.763185677,0.728007963,2.997866667,2.88745,9.063966667,9.453183333,0.694369123,1.987391586,0.728007963,-1.340288919,0.033638839,0.068816553
0,NL,BY4742,2.873088101,0.735870651,0.733369979,3.152566667,2.929483333,8.8333,8.765616667,0.694369123,1.987391586,0.733369979,0.885696515,0.039000856,0.041501527
0,NL,BY4742,4.361969411,0.690618116,0.682587114,3.114916667,3.064583333,9.192966667,10.97516667,0.694369123,1.987391586,0.682587114,2.374577826,-0.01178201,-0.003751007
0,NL,BY4742,3.432087912,0.763161632,0.731398296,3.08825,2.934633333,10.01573333,10.79358333,0.694369123,1.987391586,0.731398296,1.444696326,0.037029173,0.068792509
2,L,rpl19a,5.784801282,0.566017354,0.479407562,3.131266667,3.253633333,10.94571667,13.69596667,0.564856328,3.966526375,0.529396945,1.818274908,-0.035459383,0.001161026
2,L,rpl19a,3.603442718,0.487847328,0.531128179,3.092316667,3.093583333,13.089,13.5902,0.564856328,3.966526375,0.447932765,-0.363083657,-0.116923563,-0.077009
2,L,rpl19a,2.914136319,0.532041886,0.507347756,3.1667,3.10815,11.26045,13.47071667,0.564856328,3.966526375,0.528411104,-1.052390056,-0.036445225,-0.032814442
