order,group,code,strain,resp,treat,dnds
11,2,1,rpl19a,1,NL,0.864689136
12,2,2,rpl19a,2,NL,0.259406514
13,2,3,rpl19a,3,NL,0.518813352
14,2,4,rpl19a,4,NL,0.864689136
15,2,5,rpl19a,5,NL,0.21617221
21,3,6,pmr1,1,NL,0.504401897
22,3,7,pmr1,2,NL,0.288229624
23,3,8,pmr1,3,NL,0.494107884
24,3,9,pmr1,4,NL,0.864689136
25,3,10,pmr1,5,NL,0.288229624
31,4,11,sch9,1,NL,0.768612537
32,4,12,sch9,2,NL,0.224178481
33,4,13,sch9,3,NL,2.017608598
34,4,14,sch9,4,NL,0.461167407
35,4,15,sch9,5,NL,0.672535946
41,5,16,ypt6,1,NL,0.384306036
42,5,17,ypt6,2,NL,0.144114709
43,5,18,ypt6,3,NL,0.403521467
44,5,19,ypt6,4,NL,0.396315635
45,5,20,ypt6,5,NL,0.247053889
51,6,21,tor1,1,NL,0.288229598
52,6,22,tor1,2,NL,0.144114771
53,6,23,tor1,3,NL,0.504401897
54,6,24,tor1,4,NL,1.15291895
55,6,25,tor1,5,NL,0.256203987
61,7,26,tif2,1,NL,0.960765741
62,7,27,tif2,2,NL,0.461167407
63,7,28,tif2,3,NL,0.576459331
64,7,29,tif2,4,NL,0.384306213
65,7,30,tif2,5,NL,1.15291895
71,8,31,JD174,1,NL,0.468373057
72,8,32,JD174,2,NL,0.345875531
73,8,33,JD174,3,NL,0.504401897
74,8,34,JD174,4,NL,0.624497565
75,8,35,JD174,5,NL,1.297033865
1,1,36,BY4742,1,NL,0.720574216
2,1,37,BY4742,2,NL,0.518813352
3,1,38,BY4742,3,NL,0.720574266
4,1,39,BY4742,4,NL,0.247053889
5,1,40,BY4742,5,NL,0.672535946
16,2,41,rpl19a,1,L,0.432344406
17,2,42,rpl19a,2,L,0.384306125
18,2,43,rpl19a,3,L,0.749397172
19,2,44,rpl19a,4,L,0.749397172
20,2,45,rpl19a,5,L,1.008804047
26,3,46,pmr1,1,L,0.576459331
27,3,47,pmr1,2,L,1.03762704
28,3,48,pmr1,3,L,3.746987729
29,3,49,pmr1,4,L,1.008804049
30,3,50,pmr1,5,L,0.497851003
36,4,51,sch9,1,L,0.864689136
37,4,52,sch9,2,L,1.152918972
38,4,53,sch9,3,L,0.448357075
39,4,54,sch9,4,L,0.658810607
40,4,55,sch9,5,L,2.305838563
46,5,56,ypt6,1,L,0.807043137
47,5,57,ypt6,2,L,0.624497565
48,5,58,ypt6,3,L,0.936746582
49,5,59,ypt6,4,L,0.53528356
50,5,60,ypt6,5,L,0.432344467
56,6,61,tor1,1,L,0.432344406
57,6,62,tor1,2,L,0.864689121
58,6,63,tor1,3,L,0.461167407
59,6,64,tor1,4,L,0.288229522
60,6,65,tor1,5,L,0.57645924
66,7,66,tif2,1,L,0.360286928
67,7,67,tif2,2,L,0.576459301
68,7,68,tif2,3,L,0.288229573
69,7,69,tif2,4,L,0.786080149
70,7,70,tif2,5,L,0.720574165
76,8,71,JD174,1,L,0.324258224
77,8,72,JD174,2,L,0.480382691
78,8,73,JD174,3,L,1.44114895
79,8,74,JD174,4,L,0.576459301
80,8,75,JD174,5,L,0.288229445
6,1,76,BY4742,1,L,1.873493631
7,1,77,BY4742,2,L,0.658810607
8,1,78,BY4742,3,L,0.768612471
9,1,79,BY4742,4,L,0.92233508
10,1,80,BY4742,5,L,1.297033962
