Genotype,Evo.trt,Index,Gene,repsWithMutation,pvalue,padj,significant
BY4742,L,1,YGR013W,2,0.007840209,0.017462284,1
BY4742,L,2,YAR050W,4,0.000186672,0.001306702,1
BY4742,L,3,YHL030W,2,0.035094269,0.03821376,1
BY4742,L,4,YJL157C,2,0.019040508,0.024552234,1
BY4742,L,5,YBR148W,2,0,0,1
BY4742,L,6,YGL008C,5,0,0,1
BY4742,L,7,YOL013C,2,0.005786821,0.017462284,1
BY4742,L,8,YKL089W,2,0.012320329,0.020732997,1
BY4742,L,9,YOL091W,2,0,0,1
BY4742,L,10,YKL171W,2,0.005226806,0.017462284,1
BY4742,L,11,YLR399C,2,0.016053761,0.023674357,1
BY4742,L,12,YPL177C,2,0,0,1
BY4742,L,13,Q0045,5,0,0,1
BY4742,L,14,YER111C,2,0.000186672,0.001306702,1
BY4742,L,15,YLR256W,2,0.02949412,0.033609578,1
BY4742,L,16,YAL036C,2,0.004106776,0.017462284,1
BY4742,L,17,YER014W,2,0.01586709,0.023674357,1
BY4742,L,18,YNL288W,2,0.008586896,0.018293821,1
BY4742,L,19,YMR317W,3,0.007093522,0.017462284,1
BY4742,L,20,YPL016W,2,0.019040508,0.024552234,1
BY4742,L,21,YDR174W,2,0.00336009,0.017462284,1
BY4742,L,22,YLR207W,2,0.004666791,0.017462284,1
BY4742,L,23,YFR016C,3,0.01138697,0.020665242,1
BY4742,L,24,YLR318W,2,0.007466866,0.017462284,1
BY4742,L,25,YOR070C,2,0.010640284,0.020665242,1
BY4742,L,26,YOR172W,2,0.009706926,0.019818306,1
BY4742,L,27,YJR061W,2,0.018853836,0.024552234,1
BY4742,L,28,YJL042W,2,0.030800821,0.034300915,1
BY4742,L,29,YNL104C,2,0.012693672,0.020732997,1
BY4742,L,30,YLR176C,2,0.006533508,0.017462284,1
BY4742,L,31,YLR019W,2,0.006160164,0.017462284,1
BY4742,L,32,YBL113C,3,0.006906851,0.017462284,1
BY4742,L,33,YEL050C,2,0.007653537,0.017462284,1
BY4742,L,34,YMR205C,2,0.020720553,0.025209778,1
BY4742,L,35,YLR183C,2,0.011013627,0.020665242,1
BY4742,L,36,YJL134W,3,0.003733433,0.017462284,1
BY4742,L,37,YBR112C,2,0.024267314,0.028311866,1
BY4742,L,38,YDR081C,2,0.01698712,0.023781968,1
BY4742,L,39,YDL202W,2,0.005040134,0.017462284,1
BY4742,L,40,YLL036C,2,0.011946985,0.020732997,1
BY4742,L,41,YFL067W,2,0.002053388,0.012577002,1
BY4742,L,42,YJR134C,2,0.016427105,0.023674357,1
BY4742,L,43,YLR373C,2,0.020160538,0.025209778,1
BY4742,L,44,YDR294C,2,0.016240433,0.023674357,1
BY4742,L,45,YNL082W,2,0.021093896,0.025209778,1
JD174,L,46,YBL113C,3,0.00224006,0.006720179,1
JD174,L,47,YOL155C,3,0,0,1
JD174,L,48,Q0140,2,0.002800075,0.007754053,1
JD174,L,49,YHL050C,3,0.010640284,0.020496547,1
JD174,L,50,YML017W,2,0.015493746,0.023404762,1
JD174,L,51,YLR436C,2,0.016053761,0.023404762,1
JD174,L,52,YJL157C,2,0.027627403,0.033152884,1
JD174,L,53,YLR084C,3,0.018293821,0.023404762,1
JD174,L,54,YLR081W,2,0.017547135,0.023404762,1
JD174,L,55,YMR164C,3,0.007093522,0.015021577,1
JD174,L,56,YPL103C,2,0,0,1
JD174,L,57,YOL013C,2,0,0,1
JD174,L,58,YPL177C,5,0,0,1
JD174,L,59,YDL122W,2,0.003920105,0.009408251,1
JD174,L,60,YGL093W,2,0.018853836,0.023404762,1
JD174,L,61,YOR308C,2,0.015493746,0.023404762,1
JD174,L,62,YDR265W,2,0.004293448,0.009660258,1
JD174,L,63,YAL063C,2,0,0,1
JD174,L,64,YAR050W,2,0.000373343,0.001221851,1
JD174,L,65,YHL030W,2,0.041441105,0.046621243,1
JD174,L,66,YDL169C,2,0.003733433,0.009408251,1
JD174,L,67,YBR083W,2,0.011013627,0.020496547,1
JD174,L,68,YDL102W,2,0.034160911,0.039670735,1
JD174,L,69,YGL197W,2,0.000186672,0.000672018,1
JD174,L,70,YNL127W,3,0,0,1
JD174,L,71,YOR166C,2,0.01138697,0.020496547,1
JD174,L,72,YER133W,2,0.016613776,0.023404762,1
JD174,L,73,YCR018C,2,0,0,1
JD174,L,74,YNCC0008W,2,0,0,1
JD174,L,75,YNCC0009C,2,0,0,1
JD174,L,76,YBR097W,2,0.018293821,0.023404762,1
JD174,L,77,YPR095C,2,0.012880343,0.022080589,1
pmr1,L,78,YBL113C,5,0,0,1
pmr1,L,79,YEL077C,5,0.012880343,0.023699832,1
pmr1,L,80,YHR054C,4,0.003173418,0.009731815,1
pmr1,L,81,YOR330C,2,0.036774314,0.039226501,1
pmr1,L,82,YLL013C,2,0.000560015,0.001840049,1
pmr1,L,83,YLR451W,2,0.000373343,0.001321061,1
pmr1,L,84,YFR016C,2,0.037521001,0.039226501,1
pmr1,L,85,YGL014W,2,0.023520627,0.029150251,1
pmr1,L,86,YML029W,2,0,0,1
pmr1,L,87,YMR164C,4,0.007653537,0.017603136,1
pmr1,L,88,YJL019W,4,0.008773567,0.018344732,1
pmr1,L,89,YMR052W,2,0,0,1
pmr1,L,90,YPL177C,5,0,0,1
pmr1,L,91,YFL011W,2,0.016240433,0.023939224,1
pmr1,L,92,YGL234W,2,0.020533881,0.027781133,1
pmr1,L,93,YMR317W,3,0.015120403,0.023939224,1
pmr1,L,94,YOL155C,2,0.014560388,0.023920638,1
pmr1,L,95,Q0140,3,0.004293448,0.012343662,1
pmr1,L,96,YHL050C,3,0.009893597,0.019787194,1
pmr1,L,97,YBR150C,2,0.014373717,0.023920638,1
pmr1,L,98,YDR137W,2,0,0,1
pmr1,L,99,YDR174W,2,0.006906851,0.016721849,1
pmr1,L,100,YLR318W,2,0.008586896,0.018344732,1
pmr1,L,101,YPL190C,2,0.017173791,0.023939224,1
pmr1,L,102,YKL029C,2,0.006160164,0.015742642,1
pmr1,L,103,YDL215C,2,0.024080642,0.029150251,1
pmr1,L,104,YAL048C,2,0,0,1
pmr1,L,105,YPR026W,2,0.015680418,0.023939224,1
pmr1,L,106,YGR159C,2,0,0,1
pmr1,L,107,YJL165C,3,0,0,1
pmr1,L,108,YLR309C,2,0,0,1
pmr1,L,109,YML034W,2,0.011573642,0.022182814,1
pmr1,L,110,YPL216W,2,0.02837409,0.032630203,1
pmr1,L,111,YDR443C,2,0.022587269,0.02886151,1
pmr1,L,112,YPL103C,2,0.005413478,0.014648234,1
pmr1,L,113,YDR135C,3,0.033414224,0.03748913,1
pmr1,L,114,YBR235W,2,0.037521001,0.039226501,1
pmr1,L,115,YDL029W,2,0.013813702,0.023920638,1
pmr1,L,116,YHR149C,2,0.026880717,0.031705461,1
pmr1,L,117,YOL066C,2,0.021840582,0.028704765,1
pmr1,L,118,YBR263W,2,0,0,1
pmr1,L,119,YJR131W,2,0.000373343,0.001321061,1
pmr1,L,120,YDR485C,2,0.017173791,0.023939224,1
pmr1,L,121,YGL093W,2,0.000373343,0.001321061,1
rpl19a,L,122,YBL113C,4,0,0,1
rpl19a,L,123,YAR050W,2,0.008026881,0.017257794,1
rpl19a,L,124,YHR211W,2,0.036400971,0.040134404,1
rpl19a,L,125,YIL169C,2,0.019973866,0.025733235,1
rpl19a,L,126,YPL032C,2,0.020347209,0.025733235,1
rpl19a,L,127,YDL045C,2,0.005226806,0.017257794,1
rpl19a,L,128,YGL022W,2,0.021280567,0.026144697,1
rpl19a,L,129,YMR189W,4,0,0,1
rpl19a,L,130,YDR218C,2,0.007653537,0.017257794,1
rpl19a,L,131,YJL057C,4,0,0,1
rpl19a,L,132,YDR464W,2,0.024080642,0.028762989,1
rpl19a,L,133,YAL048C,2,0.015120403,0.021672578,1
rpl19a,L,134,YDL203C,2,0.011200299,0.020067202,1
rpl19a,L,135,YMR008C,2,0.007280194,0.017257794,1
rpl19a,L,136,Q0045,3,0.000186672,0.001337813,1
rpl19a,L,137,YFL067W,2,0.000373343,0.002293394,1
rpl19a,L,138,YMR317W,3,0.004666791,0.016722668,1
rpl19a,L,139,YAL035W,2,0.014560388,0.021672578,1
rpl19a,L,140,YGL086W,2,0.01810715,0.024331482,1
rpl19a,L,141,YHL050C,3,0.009333582,0.018242911,1
rpl19a,L,142,YFR016C,4,0.008026881,0.017257794,1
rpl19a,L,143,YPL012W,2,0.032480866,0.036754664,1
rpl19a,L,144,YDR173C,2,0.004293448,0.016722668,1
rpl19a,L,145,YPR204W,2,0.006533508,0.017257794,1
rpl19a,L,146,YFR008W,2,0.004666791,0.016722668,1
rpl19a,L,147,YDR138W,2,0.015120403,0.021672578,1
rpl19a,L,148,YLR336C,2,0.025760687,0.029938096,1
rpl19a,L,149,YHR034C,2,0.006533508,0.017257794,1
rpl19a,L,150,YKL179C,2,0.014187045,0.021672578,1
rpl19a,L,151,YLR238W,2,0,0,1
rpl19a,L,152,YPL243W,2,0.013253687,0.021672578,1
rpl19a,L,153,YOL155C,2,0.004106776,0.016722668,1
rpl19a,L,154,YAL009W,2,0.007653537,0.017257794,1
rpl19a,L,155,YNL251C,2,0.012320329,0.021190965,1
rpl19a,L,156,YJR110W,2,0.002053388,0.011036961,1
rpl19a,L,157,YLR371W,3,0,0,1
rpl19a,L,158,YMR276W,2,0.010080269,0.01884572,1
rpl19a,L,159,YEL077C,2,0.009146911,0.018242911,1
rpl19a,L,160,YBR274W,2,0.017547135,0.024331482,1
sch9,L,161,YBL113C,5,0,0,1
sch9,L,162,YEL077C,3,0.010640284,0.020978337,1
sch9,L,163,YFL067W,2,0.001866716,0.007466866,1
sch9,L,164,YHL050C,4,0.008586896,0.02020446,1
sch9,L,165,YPL016W,2,0.042561135,0.048534628,1
sch9,L,166,YBR140C,3,0,0,1
sch9,L,167,YIL149C,2,0.040507747,0.047656173,1
sch9,L,168,YLR318W,2,0.010453612,0.020978337,1
sch9,L,169,YIL038C,2,0.029680791,0.037100989,1
sch9,L,170,YFL007W,2,0.040321075,0.047656173,1
sch9,L,171,YKR095W,3,0.027440732,0.035407396,1
sch9,L,172,YJL042W,2,0.01698712,0.025166103,1
sch9,L,173,Q0045,2,0.000186672,0.000829652,1
sch9,L,174,YGR178C,2,0.026694045,0.035407396,1
sch9,L,175,YMR317W,3,0,0,1
sch9,L,176,YOR373W,2,0.01810715,0.025867356,1
sch9,L,177,YML034W,2,0.026507374,0.035407396,1
sch9,L,178,YDR299W,2,0.008400224,0.02020446,1
sch9,L,179,YGL008C,2,0.007093522,0.01891606,1
sch9,L,180,YPR024W,2,0.016427105,0.025166103,1
sch9,L,181,YML023C,2,0.012880343,0.022400597,1
sch9,L,182,YML074C,2,0.005040134,0.014400384,1
sch9,L,183,YNL273W,2,0.016053761,0.025166103,1
sch9,L,184,YDR297W,3,0,0,1
sch9,L,185,YGL004C,2,0.011013627,0.020978337,1
sch9,L,186,YOL155C,2,0.009893597,0.020978337,1
sch9,L,187,YAR050W,2,0,0,1
sch9,L,188,Q0140,3,0.003173418,0.011539702,1
sch9,L,189,YOL081W,3,0,0,1
sch9,L,190,YJR045C,2,0.004480119,0.013784983,1
sch9,L,191,YEL040W,2,0.014933732,0.024889553,1
sch9,L,192,YJL129C,3,0.000186672,0.000829652,1
sch9,L,193,YJL019W,2,0.011946985,0.021721791,1
sch9,L,194,YKL129C,2,0.043681165,0.048534628,1
sch9,L,195,YPL177C,2,0.003920105,0.013067015,1
sch9,L,196,YNR032W,2,0,0,1
tif2,L,197,YBL113C,5,0,0,1
tif2,L,198,YGL197W,2,0.002053388,0.015657084,1
tif2,L,199,YOR070C,2,0.00112003,0.00976026,1
tif2,L,200,YOR043W,4,0,0,1
tif2,L,201,YPL177C,4,0,0,1
tif2,L,202,YDR406W,2,0.006720179,0.040371986,1
tif2,L,203,YPR164W,2,0.005786821,0.039221787,1
tif2,L,204,YIL019W,2,0.000373343,0.005693485,1
tif2,L,205,YKL171W,2,0.000933358,0.009489142,1
tif2,L,206,YHL050C,2,0.000746687,0.009109576,1
tif2,L,207,YDR217C,2,0.007280194,0.040371986,1
tor1,L,208,YBL113C,5,0,0,1
tor1,L,209,YMR317W,4,0.006720179,0.012600336,1
tor1,L,210,YAR050W,2,0.000373343,0.001600043,1
tor1,L,211,YPL016W,3,0.01362703,0.018582314,1
tor1,L,212,YNL233W,3,0.006160164,0.012600336,1
tor1,L,213,YKL109W,2,0.010453612,0.015680418,1
tor1,L,214,YIL147C,2,0.043307822,0.046401237,1
tor1,L,215,YGL008C,3,0,0,1
tor1,L,216,YOL013C,5,0,0,1
tor1,L,217,YFL067W,2,0.001306702,0.004355672,1
tor1,L,218,YHR054C,2,0.00112003,0.004200112,1
tor1,L,219,YFR045W,2,0.009893597,0.015621469,1
tor1,L,220,YHL050C,3,0.006533508,0.012600336,1
tor1,L,221,YLR207W,3,0.003733433,0.011200299,1
tor1,L,222,YLR426W,2,0.008773567,0.014622612,1
tor1,L,223,YJR033C,2,0.032107523,0.035675025,1
tor1,L,224,YCR011C,2,0.014373717,0.018748326,1
tor1,L,225,YJR126C,2,0,0,1
tor1,L,226,YGR237C,3,0,0,1
tor1,L,227,Q0045,3,0,0,1
tor1,L,228,YER001W,2,0.013440358,0.018582314,1
tor1,L,229,YFR022W,2,0.019787194,0.023744633,1
tor1,L,230,YOL155C,3,0.004293448,0.011709403,1
tor1,L,231,YOR009W,2,0.006160164,0.012600336,1
tor1,L,232,YIL169C,2,0.017173791,0.021467239,1
tor1,L,233,YIR019C,2,0.007653537,0.013506243,1
tor1,L,234,YML029W,2,0.005973493,0.012600336,1
tor1,L,235,YFL033C,2,0.025014,0.028862308,1
ypt6,L,236,YBL113C,5,0,0,1
ypt6,L,237,YOL155C,2,0.010453612,0.0186347,1
ypt6,L,238,YKL164C,2,0.009520254,0.017742291,1
