Genotype,Evo.trt,ontology.aspect,order,GOID,TERM,CORRECTED_PVALUE,UNCORRECTED_PVALUE,NUM_LIST_ANNOTATIONS,LIST_SIZE,TOTAL_NUM_ANNOTATIONS,POPULATION_SIZE,FDR_RATE,EXPECTED_FALSE_POSITIVES,ANNOTATED_GENES
all.pooled,L,process,1,GO:0007193,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,0.001022429,5.30E-06,2,17,2,7166,0.00%,0,"YOL081W, YBR140C"
all.pooled,L,process,2,GO:0007165,signal transduction,0.001715314,8.89E-06,7,17,356,7166,0.00%,0,"YLR371W, YGL008C, YMR052W, YOL081W, YBR140C, YJL165C, YJL134W"
all.pooled,L,process,3,GO:0023052,signaling,0.001986386,1.03E-05,7,17,364,7166,0.00%,0,"YLR371W, YGL008C, YMR052W, YOL081W, YBR140C, YJL165C, YJL134W"
all.pooled,L,process,4,GO:0035556,intracellular signal transduction,0.002160389,1.12E-05,6,17,237,7166,0.00%,0,"YJL134W, YGL008C, YJL165C, YBR140C, YOL081W, YLR371W"
sch9,L,function,1,GO:0005096,GTPase activator activity,0.001152957,0.00019216,2,3,58,7166,2.00%,0.02,"YBR140C, YOL081W"
sch9,L,function,2,GO:0030695,GTPase regulator activity,0.001361568,0.000226928,2,3,63,7166,1.00%,0.02,"YOL081W, YBR140C"
sch9,L,function,3,GO:0060589,nucleoside-triphosphatase regulator activity,0.003508175,0.000584696,2,3,101,7166,2.00%,0.06,"YBR140C, YOL081W"
sch9,L,function,4,GO:0008047,enzyme activator activity,0.007222573,0.001203762,2,3,145,7166,2.50%,0.1,"YBR140C, YOL081W"
sch9,L,process,1,GO:0007193,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,5.38E-06,1.17E-07,2,3,2,7166,0.00%,0,"YBR140C, YOL081W"
sch9,L,process,2,GO:0007187,"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger",0.000241716,5.25E-06,2,3,10,7166,0.00%,0,"YBR140C, YOL081W"
sch9,L,process,3,GO:0007188,adenylate cyclase-modulating G-protein coupled receptor signaling pathway,0.000241716,5.25E-06,2,3,10,7166,0.00%,0,"YBR140C, YOL081W"
sch9,L,process,4,GO:0046580,negative regulation of Ras protein signal transduction,0.000644215,1.40E-05,2,3,16,7166,0.00%,0,"YOL081W, YBR140C"
