Genotype,Evo.trt,ontology.aspect,order,GOID,TERM,CORRECTED_PVALUE,UNCORRECTED_PVALUE,NUM_LIST_ANNOTATIONS,LIST_SIZE,TOTAL_NUM_ANNOTATIONS,POPULATION_SIZE,FDR_RATE,EXPECTED_FALSE_POSITIVES,ANNOTATED_GENES
all.pooled,NL,component,1,GO:0005623,cell,2.89E-07,1.33E-09,166,171,5892,7166,0.00%,0,"YNL054W, YJR090C, YJR033C, YNR013C, YNL271C, YOR149C, YNR067C, YER011W, YBR289W, YEL063C, YBR150C, YNL287W, YKL204W, YLR389C, YGR289C, YIL169C, YHR211W, YGL100W, YKL101W, YML124C, YEL077C, YJL109C, YLR398C, YOR125C, YHR023W, YJL020C, YKR019C, YOL076W, YBR212W, YFR019W, YJL092W, YOR206W, YDL185W, YER128W, Q0115, YMR066W, YMR124W, YCR037C, YAL022C, YPL146C, YGR092W, YNL309W, YLR383W, YGR217W, YBL022C, YOL155C, YGL216W, YOR373W, YLR310C, YJR041C, YLR450W, YPL167C, YOR141C, YER033C, YBL051C, YOL081W, YLR087C, YOR372C, YLR278C, YCL030C, YLL003W, YBL079W, YGR274C, YOL017W, YHR045W, YDR373W, YML091C, YLR454W, YDR145W, YNL141W, YGL075C, YLR035C-A, YPL110C, YGL066W, YDR398W, YLR222C, YDR170C, YDR017C, YNL267W, YPL190C, YML060W, YPL051W, YML069W, YLR247C, YJR150C, YDR173C, YIL149C, YPL063W, YGR134W, YPL016W, YLR318W, YCR084C, YDL132W, YEL040W, YOL013C, YGL014W, YBR223C, YKL068W, YPR204W, YGR014W, YCR036W, YKL139W, YBR140C, YGR023W, YHR050W, YDR245W, YCR081W, YOL061W, YMR164C, YOL034W, YDR299W, YMR205C, YJR131W, YBR101C, YOR160W, YPR008W, YBL113C, YLR207W, YKL010C, YPL012W, YCR011C, YML017W, YJR138W, YGR116W, Q0140, YAR050W, YML056C, YCL052C, YKL209C, YMR308C, YCR093W, YJR016C, YBR017C, YDR174W, YMR179W, YDR080W, YLL031C, YKL213C, YCL031C, YIL112W, YGR204W, YAL063C, YCR069W, YML103C, YKL164C, YPR055W, YLR320W, YDR219C, YIR006C, YDR309C, YJR065C, YBR003W, YLR451W, YGL058W, YOR341W, YKL028W, YNR020C, YDR232W, YGR098C, YPR154W, YMR093W, YHL050C, YML010W, YKL205W, YDR135C, YGL194C"
all.pooled,NL,component,2,GO:0044464,cell part,2.89E-07,1.33E-09,166,171,5892,7166,0.00%,0,"YER128W, YOR206W, YDL185W, Q0115, YMR066W, YMR124W, YCR037C, YGR092W, YPL146C, YAL022C, YHR023W, YJL020C, YKR019C, YOL076W, YBR212W, YJL092W, YFR019W, YLR389C, YGR289C, YIL169C, YHR211W, YGL100W, YEL077C, YML124C, YKL101W, YJL109C, YOR125C, YLR398C, YNL054W, YJR090C, YNL271C, YOR149C, YJR033C, YNR013C, YNR067C, YER011W, YBR289W, YEL063C, YNL287W, YBR150C, YKL204W, YPL051W, YML069W, YJR150C, YDR173C, YLR247C, YGR134W, YIL149C, YPL063W, YPL016W, YDR145W, YNL141W, YLR035C-A, YGL075C, YGL066W, YDR398W, YPL110C, YDR170C, YLR222C, YDR017C, YML060W, YPL190C, YNL267W, YBL079W, YGR274C, YHR045W, YOL017W, YDR373W, YML091C, YLR454W, YNL309W, YLR383W, YGL216W, YOL155C, YBL022C, YGR217W, YOR373W, YJR041C, YLR310C, YPL167C, YLR450W, YBL051C, YER033C, YOR141C, YCL030C, YLR278C, YOL081W, YLR087C, YOR372C, YLL003W, YCR011C, YGR116W, YJR138W, YML017W, YAR050W, Q0140, YCL052C, YML056C, YBR101C, YMR205C, YJR131W, YOR160W, YPR008W, YLR207W, YBL113C, YKL010C, YPL012W, YGR014W, YCR036W, YKL139W, YBR140C, YGR023W, YHR050W, YDR245W, YOL061W, YCR081W, YDR299W, YOL034W, YMR164C, YLR318W, YCR084C, YDL132W, YGL014W, YEL040W, YOL013C, YBR223C, YPR204W, YKL068W, YDR232W, YGR098C, YPR154W, YHL050C, YMR093W, YGL194C, YDR135C, YKL205W, YML010W, YDR219C, YIR006C, YJR065C, YDR309C, YLR451W, YBR003W, YGL058W, YKL028W, YNR020C, YOR341W, YGR204W, YCL031C, YIL112W, YKL213C, YAL063C, YCR069W, YML103C, YPR055W, YKL164C, YLR320W, YMR308C, YKL209C, YCR093W, YDR174W, YBR017C, YJR016C, YMR179W, YDR080W, YLL031C"
all.pooled,NL,component,3,GO:0000792,heterochromatin,0.000365252,1.68E-06,6,171,17,7166,0.00%,0,"YMR093W, YJL109C, YML010W, YGL058W, YDR174W, YDR398W"
all.pooled,NL,component,4,GO:0033553,rDNA heterochromatin,0.000651492,3.00E-06,5,171,11,7166,0.00%,0,"YDR174W, YDR398W, YJL109C, YMR093W, YML010W"
all.pooled,NL,component,5,GO:0005856,cytoskeleton,0.002250204,1.04E-05,19,171,257,7166,0.00%,0,"YPR154W, YKL101W, YML124C, YGR092W, YGR098C, YIL149C, YOR141C, YLL003W, YNL271C, YGL216W, YIR006C, YJR090C, YHR023W, YGL075C, YEL040W, YJR065C, YJL020C, YDR309C, YOR373W"
all.pooled,NL,component,6,GO:1990234,transferase complex,0.003958681,1.82E-05,25,171,420,7166,0.00%,0,"YOL013C, YDL132W, YLR383W, YJR090C, YNL054W, YLR318W, YPL167C, YKL139W, YGR274C, YOL034W, YLR320W, YOL061W, YDR245W, YBR003W, YOL076W, YDR145W, YLR207W, YDR219C, YMR205C, YFR019W, YKL028W, YOR341W, YGL058W, YGL066W, YCL052C"
all.pooled,NL,component,7,GO:0032991,macromolecular complex,0.005383519,2.48E-05,80,171,2279,7166,0.00%,0,"YBR212W, YFR019W, YPL012W, YMR205C, YHR023W, YLR207W, YOL076W, YJR138W, YML017W, YGR116W, Q0140, YCL052C, YGR092W, YPL146C, YOR206W, YDL185W, YBR289W, YNL287W, YKL068W, YKL204W, YLR318W, YNL054W, YJR090C, YJR033C, YCR084C, YNL271C, YDL132W, YOL013C, YML124C, YDR245W, YJL109C, YCR081W, YLR398C, YOL061W, YOL034W, YDR299W, YKL139W, YGL100W, YGL058W, YDR398W, YGL066W, YLR222C, YKL028W, YOR341W, YPL190C, YDR219C, YIR006C, YDR145W, YJR065C, YBR003W, YGL075C, YMR093W, YML010W, YKL205W, YPL016W, YGL194C, YML069W, YGR134W, YIL149C, YPL063W, YLR450W, YPL167C, YDR174W, YBR017C, YOR141C, YBL051C, YDR080W, YLR383W, YNL309W, YGR217W, YGL216W, YCR093W, YML103C, YML091C, YPR055W, YLR320W, YIL112W, YCL031C, YBL079W, YGR274C"
all.pooled,NL,component,8,GO:0043229,intracellular organelle,0.006097998,2.81E-05,140,171,4874,7166,0.00%,0,"YKL164C, YML103C, YLR320W, YGR204W, YIL112W, YCL031C, YKL213C, YCR069W, YMR179W, YBR017C, YDR174W, YJR016C, YLL031C, YDR080W, YMR308C, YKL209C, YCR093W, YPR154W, YDR135C, YGL194C, YKL205W, YML010W, YMR093W, YGR098C, YDR232W, YGL058W, YOR341W, YNR020C, YKL028W, YIR006C, YDR219C, YLR451W, YBR003W, YJR065C, YDR309C, YDR245W, YHR050W, YDR299W, YOL034W, YMR164C, YCR081W, YCR036W, YBR140C, YGR023W, YKL139W, YKL068W, YBR223C, YCR084C, YLR318W, YEL040W, YOL013C, YDL132W, YGR116W, YML017W, YJR138W, YCL052C, Q0140, YCR011C, YPL012W, YOR160W, YPR008W, YJR131W, YMR205C, YKL010C, YLR207W, YLR454W, YML091C, YGR274C, YBL079W, YDR373W, YOL017W, YHR045W, YBL051C, YOR141C, YER033C, YPL167C, YLR450W, YLL003W, YLR278C, YLR087C, YOL081W, YOR372C, YGL216W, YBL022C, YLR383W, YNL309W, YJR041C, YLR310C, YOR373W, YPL016W, YML069W, YPL051W, YPL063W, YGR134W, YIL149C, YDR173C, YLR247C, YLR222C, YDR170C, YGL066W, YDR398W, YML060W, YNL267W, YPL190C, YDR017C, YLR035C-A, YGL075C, YNL141W, YDR145W, YML124C, YKL101W, YJL109C, YOR125C, YLR389C, YGL100W, YBR289W, YEL063C, YER011W, YKL204W, YNL287W, YBR150C, YOR149C, YNL271C, YNR013C, YNL054W, YJR090C, YGR092W, YPL146C, YAL022C, Q0115, YOR206W, YDL185W, YER128W, YMR066W, YBR212W, YJL092W, YFR019W, YHR023W, YKR019C, YJL020C"
all.pooled,NL,component,9,GO:0043226,organelle,0.006296489,2.90E-05,140,171,4876,7166,0.00%,0,"YGL100W, YLR389C, YJL109C, YOR125C, YML124C, YKL101W, YNR013C, YNL271C, YOR149C, YNL054W, YJR090C, YKL204W, YBR150C, YNL287W, YER011W, YBR289W, YEL063C, YMR066W, Q0115, YER128W, YOR206W, YDL185W, YAL022C, YPL146C, YGR092W, YKR019C, YJL020C, YHR023W, YFR019W, YJL092W, YBR212W, YDR373W, YOL017W, YHR045W, YGR274C, YBL079W, YLR454W, YML091C, YLR310C, YJR041C, YOR373W, YBL022C, YGL216W, YNL309W, YLR383W, YLL003W, YLR087C, YOR372C, YOL081W, YLR278C, YOR141C, YER033C, YBL051C, YLR450W, YPL167C, YIL149C, YPL063W, YGR134W, YLR247C, YDR173C, YML069W, YPL051W, YPL016W, YGL075C, YLR035C-A, YNL141W, YDR145W, YNL267W, YPL190C, YML060W, YDR017C, YDR170C, YLR222C, YDR398W, YGL066W, YGR023W, YBR140C, YKL139W, YCR036W, YOL034W, YMR164C, YDR299W, YCR081W, YDR245W, YHR050W, YEL040W, YOL013C, YDL132W, YCR084C, YLR318W, YKL068W, YBR223C, YCR011C, YCL052C, Q0140, YML017W, YJR138W, YGR116W, YKL010C, YLR207W, YPR008W, YOR160W, YJR131W, YMR205C, YPL012W, YCR069W, YCL031C, YIL112W, YKL213C, YGR204W, YLR320W, YKL164C, YML103C, YCR093W, YKL209C, YMR308C, YLL031C, YDR080W, YMR179W, YJR016C, YBR017C, YDR174W, YGR098C, YDR232W, YML010W, YKL205W, YDR135C, YGL194C, YMR093W, YPR154W, YBR003W, YLR451W, YDR309C, YJR065C, YIR006C, YDR219C, YNR020C, YOR341W, YKL028W, YGL058W"
all.pooled,NL,process,1,GO:0050789,regulation of biological process,4.34E-06,4.69E-09,76,171,1744,7166,0.00%,0,"YJL092W, YGR014W, YNL309W, YKL068W, YMR164C, YJR138W, YBR140C, YCR037C, YDR309C, YMR093W, YBR101C, YOL081W, YLR278C, YGL194C, YNR013C, YGR092W, YBR289W, YLR207W, YGL100W, YJR065C, YOR373W, YDR398W, YBL022C, YDR080W, YCR084C, YGL014W, YJR090C, YDR174W, YBR150C, YJR033C, YML091C, YOL013C, YCR081W, YBL051C, YLR451W, YKL139W, YNL271C, YMR179W, YIL169C, YNL267W, YIL149C, YDR373W, YPR008W, YPL016W, YKL010C, YCR093W, YIR006C, YLR398C, YGR217W, YMR308C, YGL216W, YDR135C, YGL066W, YLR310C, YGL058W, YGR116W, YOL076W, YBR212W, YOR141C, YDR173C, YPR154W, YML069W, YKL204W, YGR098C, YNL054W, YML010W, YJL109C, YDR232W, YKR019C, YKL101W, YJL020C, YDR170C, YDR017C, YPL190C, YOR372C, YGR134W"
